learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
132000.0,2.77466,0.0,132000.0,93.60000000000001,73.10743579400297,-166.6666666666662,51.51515151515156,132000.0,0.0,69.0,35.0,35.0,11.0,0.0,0.0,1.0
133000.0,2.799366,0.0,133000.0,94.0,79.8576608030079,-172.72727272727272,68.42105263157892,133000.0,0.0,71.0,36.0,36.0,11.0,0.0,0.0,1.0
134000.0,2.820109,0.0,134000.0,95.6,84.57352817434717,-91.30434782608695,76.34408602150536,134000.0,0.0,71.0,36.0,36.0,11.0,0.0,0.0,1.0
135000.0,2.83972,0.0,135000.0,96.2,83.82813563938443,-52.0,73.6111111111111,135000.0,0.0,71.0,36.0,36.0,11.0,0.0,0.0,1.0
136000.0,2.861307,0.0,136000.0,96.3,86.8091280833663,-37.03703703703704,77.97619047619047,136000.0,0.0,71.0,36.0,36.0,11.0,0.0,0.0,1.0
137000.0,2.881673,0.0,137000.0,93.89999999999999,80.34173160340569,-110.34482758620689,69.03553299492383,137000.0,0.0,71.0,36.0,36.0,11.0,0.0,0.0,1.0
138000.0,2.902079,0.0,138000.0,93.2,77.94291756814181,-142.85714285714246,63.0434782608696,138000.0,0.0,71.0,36.0,36.0,11.0,0.0,0.0,1.0
139000.0,2.92256,0.0,139000.0,91.2,70.18141895784062,-174.99999999999966,50.000000000000036,139000.0,0.0,71.0,36.0,36.0,11.0,0.0,0.0,1.0
140000.0,2.947971,0.0,140000.0,91.5,67.5183234869271,-149.99999999999966,46.875000000000036,140000.0,0.0,73.0,37.0,37.0,11.0,0.0,0.0,1.0
141000.0,2.971994,0.0,141000.0,92.2,73.2731178963888,-69.5652173913041,59.58549222797929,141000.0,0.0,75.0,38.0,38.0,11.0,0.0,0.0,1.0
142000.0,2.998856,0.0,142000.0,92.60000000000001,76.04534551351982,-72.09302325581369,64.42307692307693,142000.0,0.0,75.0,38.0,38.0,11.0,0.0,0.0,1.0
143000.0,3.032058,0.0,143000.0,93.89999999999999,81.3967673071058,-110.34482758620689,71.88940092165895,143000.0,0.0,79.0,40.0,40.0,11.0,0.0,0.0,1.0
144000.0,3.055077,0.0,144000.0,93.60000000000001,82.68145237670007,-113.33333333333296,75.00000000000003,144000.0,0.0,79.0,40.0,40.0,11.0,0.0,0.0,1.0
145000.0,3.077849,0.0,145000.0,94.3,85.49182706257858,-147.82608695652172,78.88888888888887,145000.0,0.0,79.0,40.0,40.0,11.0,0.0,0.0,1.0
146000.0,3.100832,0.0,146000.0,91.4,78.4012396683837,-186.6666666666663,71.23745819397995,146000.0,0.0,79.0,40.0,40.0,11.0,0.0,0.0,1.0
147000.0,3.12886,0.0,147000.0,88.0,73.27870312639175,-299.99999999999966,67.21311475409836,147000.0,0.0,81.0,41.0,41.0,11.0,0.0,0.0,1.0
148000.0,3.157124,0.0,148000.0,89.2,76.90452158144151,-369.56521739130386,72.02072538860104,148000.0,0.0,83.0,42.0,42.0,11.0,0.0,0.0,1.0
149000.0,3.181584,0.0,149000.0,87.7,74.59769355318375,-514.9999999999994,72.29729729729729,149000.0,0.0,83.0,42.0,42.0,11.0,0.0,0.0,1.0
150000.0,3.206017,0.0,150000.0,87.7,75.17378351539226,-373.07692307692264,58.163265306122454,150000.0,0.0,83.0,42.0,42.0,11.0,0.0,0.0,1.0
